name,rating,text,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,stars
José Antônio Silva,,Muito básico.,3,3,4,4
M Hasan Porosh,,"They've Free Pork Bacon In Salad, I'm Muslim So..",4,3,4,3
Max Gray,,"In this McDonald's, they feed hair.",2,2,1,1
Chuluunbaatar Battulga,,difficult to order,4,4,5,5
Truong Cong Minh,,"Đẳng cấp hơn các loại gà rán khác, cảm giác đang ở Mỹ chứ ko phải vn, 22:00 vẫn đông khách..",5,5,4,5
GEORGE STRAVOPODIS,,"Βρώμικο το κατάστημα, απίστευτη φασαρία",2,3,3,3
Willem Joubert,,"Even if there was a bit of a language barrier, we could easily order food, and the staff is extremely nice!",5,5,5,5
Yenlex Nguyen,,"Không hiểu sao phục vụ ăn tại chỗ lại chỉ để bánh vào hộp và không có bọc, tụi mình ăn cầm rất bất tiện. Xuống quầy xin giấy bọc thì mình được nhân viên hướng dẫn là hứng vào hộp hoặc vào khay. Ok i'm fine",3,2,1,2
Наталья Чащина,,"прихожу на завтрак, а второй этаж закрыт. первый раз пришла к открытию, но во второй раз в 8:30",2,4,2,3
Balayet Mamun BD,,Good food,4,5,5,5
Another Me,,Không có chỗ để xe,5,5,5,5
Richard Magtibay,,Need more improvement on service. Fast and accuracy must be prioritize.,2,5,2,1
Yannick Berger,,"Sauber und aufgeräumt, als Abwechslung zu vietnamesischen Essen geeignet.",,,,4
Lester,,Not what you call efficient... Isnt the standard of the franchise. Everything is chaotic and it takes forever,1,3,1,1
Joel Ramon Baumann,,Für einmal kein Reis - nette Abwechslung (;,5,5,5,5
Manoj Kher,,No vegetarian option available here for Indian tourist,3,3,3,5
Lon Faure,,There is a toilet on the second floor.,5,3,3,3
Pohan Pohan,,Makanan kurang beragam,4,3,3,4
King,,Not well managed place. Dark and slow preparation of food. Quality of food a little bit below average.,2,3,3,3
Mohammed AL-Hitmi,,Nothing special just the classic McDonald's menu,,,,3
ngo Lee (Ham),,"注文マシン、トイレあり
昼時は混雑し、提供に時間かかる
ベトナムのマクドナルドは単品ではない一部のバリューセットだけべらぼうに安いので要確認",4,4,4,4
Alex A,,不错,,,,5
dao quan,,Không gian hơi bé,3,5,5,5
Ciptandi Syahlavida,,Friendly staff,5,5,5,5
Trường Trần,,Địa điểm của giới nhà giàu,4,3,5,4
tuyền nguyễn,,"cũng tốt. đồ ăn ngon , đợi không quá lâu. gần ngay bờ hồ hoàn kiếm",4,4,4,4
Bui Thuc Dong,,"Đơn ra nhanh, ăn ngon miệng, hàng hơi bé. Cuối tuần nên nhà mình chuyển qua mang đi các bạn vui vẻ đóng đồ",,,,5
DUONG HA (GEMS),,"The best flavor in fried chicken!  I think so!
DUONG HA GEMS (Ha Noi in Viet Nam)
Whatapp: +84979451921",5,5,5,5
Ngọc Lan Vũ,,"Thanh toán chuyển khoản xong, máy báo lỗi không ra hoá đơn
Cửa hàng ko hoàn tiền mà bảo chuyển khoản thêm lần nữa
Rồi nói sẽ hoàn tiền sau, và đến hnay là 1 tuần chưa hoàn tiền
Cho số đt nhưng gọi ko bắt máy",,,,1
nhat lu thi,,Quá tệ,1,1,1,1
Amrik Singh,,What to say about Mc D. It's just amazing go to universal food whichever part of the world you are in.,5,5,5,5
엘파라코,,"베트남 맥도날드만의 밥 메뉴는 밥이 맛 없어요
쌀밥을 남겨야만 할 정도로 맛 없는 쌀
날리는 쌀이라서가 아니라 맛이 최악
밥 메뉴를 먹는다면 소스는 마늘피쉬소스 말고
무난하게 바베큐 소스로 하세요 제발요!
점수가 낮은 이유는
여기 하노이 길거리보다 더 정신 없음
다른 매장으로 ㄱㄱ",,,,1
Thamaraiselvan G,,A place to fill your tummy 😁 perfect when you are not in the mood for testing new delicacies,3,3,3,4
Real Speed,,暑いハノイで、憩いの休憩場所です。ソフトクリームも安く、マクドナルドブランドで安心できます。注文する機械も沢山あって、注文し易いと思います。店内と座席に関してですが、清掃があまりされていないと思いました。沢山の人が使うので、もう少し綺麗だと良いです。,3,4,4,4
Sana Ansari,,Food was good but Cockroaches were roaming. Not sure if they were even present in the kitchen. Who knows wether the food was hygienic.,1,,,1
story Hanoi,,베트남이 아무래 흡연에 관대한 나라라고는 하지만...실내에서 흡연하는 대학생들이 있어요...직원들은 제지하지 않아요..,1,4,2,3
Trường Phi Nguyễn,,Mình ăn Mc Donald's Hồ Gươm khá nhiều nên mình đánh giá chất lượng và phục vụ tốt. Không gian hợp lý vì nó ngay bờ hồ,5,5,5,5
"Hứa, Hựu Tinh",,越南為數不多的麥當勞,,,,5
Emily Rose,,Great food. Went there multiple times while In Hanoi. The food was always ready in less than 10 minutes. The food quality and portions were very good. The food wasn’t expensive. Staff had good English and are very helpful.,5,5,5,5
Mirtunjay Kumar,,No veg option is there,,,,1
christophe humblet,,"Went here twice, very decent and good food. Only bad thing is that the burgers are always a bit in the cold side",4,4,5,4
David Vedder,,"It's a Macca's, it's clean and tidy, has free WiFi, toilets, airconditioning, and reasonably priced food.
Nothing to complain about, job well done.",4,4,4,4
Trần Tuyến,,Rất đẹp,5,5,5,5
Mikel Corral,,bastante petado casi siempre pero bueno un oasis occidental,2,2,5,3
Paula Simpson,,"Mcdonalds is McDonalds whoever you are.
Staff was friendly and efficient",5,5,5,5
Hiếu Lê,,"Quán làm đơn cho xế rất lâu. Gọi tổng đài , tổng đài bảo đợi đồ mang ra. Đợi 15-20p chưa thấy đâu. Phải 1 xế trông xe 1 xế vào lấy. Nói chung là tệ",,,,1
Hiếu Lê,,Thái độ nhân viên tệ. Gọi tổng đài bảo xế đợi ở ngoài. Đợi 15-20p gọi cho quán quán vẫn bảo đợi. Nói chung là tệ,,,,1
Lamvn,,Bánh hamberger rất ngon,3,5,4,5
Sebastian Neo,,Long queue. Very crowded. Food was a bit below expectations.,3,4,4,4
faiz abdul rasheed,,"Service I meant is cashier couldn't understand English and speak, it should not be happening in an international franchise",4,4,1,1
Ameba Protozoo,,Aire acondicionado a full. Muy adecuado para cuando estas sudado como un gitano y hueles a hostias.,5,5,5,5
Hân Phạm,,"Quá tệ , nhân viên thì kém",1,1,1,1
vIcTor Lim,,Like any McDonald's but don't even think of getting a seat during weekends. It's pack,4,5,4,4
Nhu Loc Dinh,,Das war gut und der Service war toll,5,4,5,5
CHIYUN CHIU,,便宜又快，生菜沙拉不會預先混合美乃滋，給過！地點好。,5,5,5,5
Pavan Johal,,"Nice and clean McDonald’s with decent food. Really love how sauces are free on tap, unlike Hong Kong. So, that was a bonus!",4,4,4,4
Thuy Ngô,,"Không gian gọi là ư là đông, mới có thứ3 thui ạ, chỗ để xe 10k:) nay mình gọi suất chessberger combo nước 69k cũng được nhưng bánh mỳ hơi hôi nhg đc caia phục vụ tốt, có cái tích điểm đổi quà nhg do mình k biết cách dùng nên bỏ qua. Ăn gọi cho bít thui giá nó cũng ngang tầm lotteria í mn. Điều hòa mát nha mn",5,3,5,4
Javier P.,,Menú bigMc a unos 4€ al cambio,,,,4
paul vdschans,,"One toilet is a little less, and in the whole of Vietnam that have little portions. Staff was good and fast",3,4,4,4
Beanice's Life,,"View đẹp, đồ ăn bình thường",4,3,3,4
Ngọc Anh Nguyễn Thị,,Gà ok burger bình thường,5,3,4,5
Do Manh Cuong,,"Đồ ăn ở McDonald’s khá ngon , nhiểu combo giá hợp lý , nhân viên phục vụ chu đáo , có order online tại quán rất tiện !",5,5,5,5
faig halwai,,"ماكدونالدز غني عن التعريف
يوجد لديه برغر سمك لمن يبحث عن الطعام الحلال",5,5,4,4
Phương,,"Không có gì để chê, mê tương ớt Mc Donald’s, giữ xe 10k.",4,5,4,5
Yeonsil Kim,,"치밥이 궁금해서 시켜봤어요 !
껌가 맛있네요~~ 좌석도 여유 있어서 간단하게 한끼하기 좋았어요 😀",4,5,5,5
Yehuda Ashkenazi,,טעים. אבל קטן פיצי. ההמבורגר הרגיל קטן יותר ממנת ילדים בארץ.,4,4,5,4
DgLg,,河內市老城區唯一一間麥當勞，店員禮貌親切，冷氣舒適，可用信用卡支付,5,5,5,5
わっち,,ごちそうさまでした。,4,4,4,4
Tom Lieberman,,They still don't know how to make good McDonald's fries!,2,3,3,2
Ben & Moon club (Ben 12),,Amazing food,5,5,5,5
Bruce Crompton,,Cheeseburger deluxe? What does the regular cheeseburger look like?,3,1,3,1
Thanh Nguyen,,"Không gian ok
Hamburger không ngon",5,3,5,3
劉子耘-Teddy大頭,,普通,,,,3
yo Fermach,,Le lieu est dans un état pitoyable des odeurs nauséabondes en bas,2,2,2,1
Mr Thảo 2725,,"Cửa hàng sạch sẽ, đẹp đẽ. Ngồi tầng 2 có thể ngắm ra được hồ gươm, và dòng xe đổ về hồ gươm. Đồ ăn nhanh ngon, đậm đà hương vị. Giá cũng ok so với mặt bằng",5,4,5,5
Lê Tuấn Kiệt,,"Nhân viên ngoan, ko gian sạch sẽ, yên tĩnh, gần trung tâm khu đi bộ rất thuận tiện cho việc đi dạo phố cuối tuần.",5,4,5,5
khaiminh Tranvu,,Tôi thấy đồ ăn rất ngon,5,5,5,5
k1m,,"McDonalds padrão, razoável se estiver com saudade de um hambúrger barato. Quando fui estava vazio porque o turismo pós pandemi ainda estava começando.",2,3,2,3
이승준,,"🇰🇷 믿고 보는 한국인 리뷰 🇰🇷

호안끼엠 호수 근처에 있는 맥도날드입니다. 새벽 일찍 하노이에 도착하여 체크인 시간이 남아 방문했습니다.

이른 아침 시간이라 맥 모닝을 주문했고 낭낭하게 시간을 보낼 수 있었습니다.

그냥저냥 시간 떼우기에 좋으나 굳이 이 지점을 방문하여 맥도날드를 찾을 필요는 없어보입니다!",3,3,3,3
Shaun Pletschke,,"I ordered chicken and a Big Mac via Grab Food and it was the worst meal that I've had in Hanoi so far. Avoid ordering from this branch if you can, especially through Grab.",,2,,2
Phuong Tran,,Ok service. Mediocre food,4,3,4,4
Issey Draft,,トイレとフリーWi-Fiに困った時の駆け込み場所。,5,5,5,5
山際一三,,"チョコレートアイスを注文しレジで精算し席に着いた。……あとから来て注文したカップル💑が商品を受取り店の外へ出ていく。…次のカップルも……私の前の家族連れの商品は、２階へ店員が運んで行った。…私の後の家族の商品も２階に運んで行く。あれ、私のチョコレートアイスは？……店員は、私のレシートを確認レジ前のレシートの山を遡る……やはり忘れている🤣🤣🤣

こんな事が2日も続くとは…。
今はツキが戻るのを待とう😆

店員に悪気は無さそう。…ハハハ",1,1,1,2
Pravin PK,,Affordable food for everyone,5,4,5,5
Sofie Bagger,,Fin service klassisk macdonalds,3,2,4,3
Sarah Jackson,,"Might as well just serve it in a small size even though we pay for large and ask for large. Are you rationing potatoes?

Happens every time.

Order large and they ALWAYS fill it less than half.",,1,1,1
Nick “Six” Masters,,A good place to eat after doing your shopping at the Plaza across the road.,5,5,5,5
Ngọc Hân Lê,,"Đồ ăn ngon, nhiều loại nước, sốt, bánh, tráng miệng, giá cả 4/5. Không gian đẹp, rộng",5,5,5,5
thinhqt,,Tuyệt vời,5,5,5,5
송종한,,메뉴가 한국이랑 약간 다르며 종류도 더 적음. 그래도 가격이 저렴하고 맛은 한국이랑 다르지않음,5,5,5,5
Pham Đức Mạnh,,Không có chỗ gửi xe,5,5,2,4
Philip Alva,,Great experience and ambiance.,5,5,5,5
Đức Tâm Nguyễn,,Nhân viên làm ăn lề mà lề mề.,1,1,1,1
Snsjnxnxnx Wjdxnjxkdnd,,Làm quá lâu,1,1,1,1
alexis 3375,,"Après le Cambodge et le Laos un vrai plaisir de retourner dans un fast food. Le prix est très correct, la nourriture plutôt bonne.",4,5,4,4
Grigory Zimenkov,,McDonald’s is everywhere good,5,5,5,5
bui tuan anh,,"Mình đi cuối tuần nên quán rất đông. Đặt món bằng máy nhưng vẫn phải ra quầy thanh toán nhé, sau đó nhân viên sẽ đem đồ lên cho bạn. Đồ ăn nhanh nên không có gì để nói, ăn no là được. Nhân viên nhiệt tình, mình nhờ mấy việc họ cũng chạy đi làm cho. Quán vị trí đẹp nhưng view nhìn hầu như không có mấy. Cả quán chỉ có 1 nhà vệ sinh 2 phòng nên ăn xong muốn rửa tay hay đi vệ sinh xếp hàng khá mất thời gian.",4,5,4,5
Min Lee,,"결재하고 2층에서 식사하는데 여태까지 먹은 맥도날드 빅맥 중 퀄리티 제일 낮음. 혹시나해서 석달사이에 2번 왔는데 2번다 맛없었음. 미국, 한국, 캐나다등 많은 지점에서 먹어봤지만 여기가 최하위임 직원들이 늦은 밤이라 피곤한지 구석에 쓰레기 그대로 방치해두고 안 치우는데 비위생적이고 이 지점은 다시 방문 할 생각없음",2,1,3,2
Tuấn Dũng Trần,,Ko gian hơi nhỏ nhưng sạch sẽ. Trời mùa hè vào ăn mát lạnh thấy…ngon hẳn 😂,4,4,4,4
Александр Семенов,,Выкидывают мусор прямо при гостях. Он очень сильно воняет! Испортили аппетит,1,3,1,1
Md. Paiker,,As usual a good place for MC lovers.,4,5,5,5
Danny Birkett,,Very busy two storey McDonald's. They bring your order to your table and the food is so fresh and tasty and the burgers 🍔 actually look like the pictures. And the place is spotless the staff are always cleaning.,5,5,5,5
James Oh,,맥도날드 구요.. 뭐 별거 있나요.,4,4,4,5
내사랑비치,,"아이들과 여행시 무조건 맥도날드죠
하노이 맥도날드도 역시 좋네요
호안끼엠호수에서 아침운동하고 맥모닝 먹으니 애들이 엄청 좋아하네요.
깨끗하고 맥모닝 아이스크림 커피 다 맛있었어요",5,5,5,5
Đức Phạm,,Bạn nhân viên giúp mình lấy đồ khi mình đang chờ nên 5 sao nha. Có note quán rất đông nếu ăn tại chỗ buổi tối cuối tuần nha,4,4,5,5
Farhana,,"Hands down, I would pick the McDonald’s in Vietnam any day over what we have here in Singapore.

The spicy chicken was crispy and so sooo good, I had plans to reorder it (but then I selected the non-spicy chicken) which wasn’t up to mark.

Very satisfied with the burgers and chicken McDonald’s offer. Will be back (hopefully)!",5,5,5,5
HYEONSOL JEONG,,"저녁에 사람이 너무 많아요.
키오스크는 익숙치가 않은지 한세월 걸리네요 사람들이.
손님이 너무 너무 너무 많아서 직원들이 테이블 정리를 못해요.
소스도 부족한데 리필도 안돼요.
햄버거는 뭐 그냥 빅맥인데 패티가 전자렌지에 돌린것 같고 버거 사이즈가 좀 작은 느낌입니다.
근데 좀 저렴해요 한국보다 더.",1,3,3,3
Kim Ngân Nguyễn Vũ,,Bảo vệ thu thêm tiền gửi xe. Mà kp khách nào cũng thu. Có thể là biển tỉnh lẻ sẽ thu thêm,5,5,3,3
