Name,Review,Stars,Translated Review,Language,Sentiment
José Antônio Silva,Muito básico.,4,Rất cơ bản.,pt,Positive
M Hasan Porosh,"They've Free Pork Bacon In Salad, I'm Muslim So..",3,"Họ có Thịt lợn xông khói miễn phí trong Salad, tôi là người Hồi giáo nên..",en,Neutral
Max Gray,"In this McDonald's, they feed hair.",1,"Ở cửa hàng McDonald's này, họ cho ăn tóc.",en,Negative
Chuluunbaatar Battulga,difficult to order,5,khó đặt hàng,en,Positive
Truong Cong Minh,"Đẳng cấp hơn các loại gà rán khác, cảm giác đang ở Mỹ chứ ko phải vn, 22:00 vẫn đông khách..",5,"Đẳng cấp hơn các loại gà rán khác, cảm giác đang ở Mỹ chứ ko phải vn, 22:00 vẫn đông khách..",vi,Positive
GEORGE STRAVOPODIS,"Βρώμικο το κατάστημα, απίστευτη φασαρία",3,"Cửa hàng bẩn thỉu, ồn ào đến khó tin",el,Neutral
Willem Joubert,"Even if there was a bit of a language barrier, we could easily order food, and the staff is extremely nice!",5,"Ngay cả khi có một chút rào cản ngôn ngữ, chúng tôi có thể dễ dàng đặt món ăn và nhân viên thì cực kỳ tốt bụng!",en,Positive
Yenlex Nguyen,"Không hiểu sao phục vụ ăn tại chỗ lại chỉ để bánh vào hộp và không có bọc, tụi mình ăn cầm rất bất tiện. Xuống quầy xin giấy bọc thì mình được nhân viên hướng dẫn là hứng vào hộp hoặc vào khay. Ok i'm fine",2,"Không hiểu sao phục vụ ăn tại chỗ lại chỉ để bánh vào hộp và không có bọc, tụi mình ăn cầm rất bất tiện. Xuống quầy xin giấy bọc thì mình được nhân viên hướng dẫn là hứng vào hộp hoặc vào khay. Ok i'm fine",vi,Negative
Наталья Чащина,"прихожу на завтрак, а второй этаж закрыт. первый раз пришла к открытию, но во второй раз в 8:30",3,Tôi đến ăn sáng và tầng hai đóng cửa. Lần đầu tiên tôi đến khai mạc nhưng lần thứ hai lúc 8h30,ru,Neutral
Balayet Mamun BD,Good food,5,Thức ăn ngon,en,Positive
Another Me,Không có chỗ để xe,5,Không có chỗ để xe,vi,Positive
Richard Magtibay,Need more improvement on service. Fast and accuracy must be prioritize.,1,Cần cải thiện thêm về dịch vụ. Nhanh chóng và chính xác phải được ưu tiên.,en,Negative
Yannick Berger,"Sauber und aufgeräumt, als Abwechslung zu vietnamesischen Essen geeignet.",4,"Sạch sẽ, ngăn nắp, thích hợp để thay đổi phong cách ăn uống của người Việt.",de,Positive
Lester,Not what you call efficient... Isnt the standard of the franchise. Everything is chaotic and it takes forever,1,Không phải những gì bạn gọi là hiệu quả... Không phải là tiêu chuẩn của nhượng quyền thương mại. Mọi thứ đều hỗn loạn và phải mất mãi mãi,en,Negative
Joel Ramon Baumann,Für einmal kein Reis - nette Abwechslung (;,5,Không có cơm một lần - thay đổi tốt đẹp (;,de,Positive
Manoj Kher,No vegetarian option available here for Indian tourist,5,Không có lựa chọn ăn chay ở đây cho khách du lịch Ấn Độ,en,Positive
Lon Faure,There is a toilet on the second floor.,3,Có một nhà vệ sinh trên tầng hai.,en,Neutral
Pohan Pohan,Makanan kurang beragam,4,Thức ăn thiếu đa dạng,id,Positive
